level0,level1,level2,level2,code,name,note,latitude,longitude
จ.เชียงราย,เวียงแก่น,เทศบาลตำบลม่วงยาย,ม่วงยาย,10458,รพ.สต.บ้านห้วยลึก,รพ.สต.,20.108,100.539
จ.เชียงราย,เวียงแก่น,เทศบาลตำบลม่วงยาย,ม่วงยาย,11198,รพ.เวียงแก่น,รพ.,20.108,100.539
จ.เชียงราย,ป่าแดด,เทศบาลตำบลป่าแงะ,ป่าแงะ,6723,รพ.สต.บ้านหล่ายร้อง,รพ.สต.,19.579,99.933
จ.เชียงราย,ป่าแดด,เทศบาลตำบลป่าแงะ,ป่าแงะ,6724,รพ.สต.ป่าแงะ,รพ.สต.,19.579,99.933
จ.เชียงราย,ดอยหลวง,องค์การบริหารส่วนตําบลปงน้อย,ปงน้อย,6821,รพ.สต.ปงน้อย,รพ.สต.,20.104,100.068
จ.เชียงราย,ดอยหลวง,องค์การบริหารส่วนตําบลปงน้อย,ปงน้อย,28823,รพ.ดอยหลวง,รพ.,20.104,100.068
จ.เชียงราย,เวียงป่าเป้า,องค์การบริหารส่วนตําบลบ้านโป่ง,บ้านโป่ง,6774,รพ.สต.บ้านโป่ง,รพ.สต.,19.302,99.459
จ.เชียงราย,เวียงป่าเป้า,องค์การบริหารส่วนตําบลบ้านโป่ง,บ้านโป่ง,10456,รพ.สต.บ้านป่าตึง,รพ.สต.,19.302,99.459
จ.เชียงราย,เวียงเชียงรุ้ง,องค์การบริหารส่วนตําบลดงมหาวัน,ดงมหาวัน,6818,รพ.สต.ดงมหาวัน,รพ.สต.,20.041,100.006
จ.เชียงราย,เวียงเชียงรุ้ง,องค์การบริหารส่วนตําบลดงมหาวัน,ดงมหาวัน,23021,รพ.สต.บ้านดงมหาวัน,รพ.สต.,20.041,100.006
จ.เชียงราย,เมืองเชียงราย,องค์การบริหารส่วนตําบลแม่กรณ์,แม่กรณ์,6656,รพ.สต.บ้านปางริมกรณ์,รพ.สต.,19.862,99.698
จ.เชียงราย,เทิง,เทศบาลตำบลบ้านปล้อง,ปล้อง,6692,รพ.สต.ปล้อง,รพ.สต.,19.658,100.062
จ.เชียงราย,เมืองเชียงราย,องค์การบริหารส่วนตําบลดอยฮาง,ดอยฮาง,6668,รพ.สต.ดอยฮาง,รพ.สต.,19.931,99.713
จ.เชียงราย,เชียงของ,เทศบาลตำบลครึ่ง,ครึ่ง,6679,รพ.สต.ครึ่ง,รพ.สต.,20.058,100.402
จ.เชียงราย,เชียงของ,เทศบาลตำบลครึ่ง,ครึ่ง,6680,รพ.สต.ม่วงชุม,รพ.สต.,20.058,100.402
จ.เชียงราย,เชียงของ,องค์การบริหารส่วนตําบลริมโขง,ริมโขง,6688,รพ.สต.บ้านหาดบ้าย,รพ.สต.,20.361,100.313
จ.เชียงราย,เชียงของ,องค์การบริหารส่วนตําบลริมโขง,ริมโขง,6689,รพ.สต.บ้านเมืองกาญจน์,รพ.สต.,20.361,100.313
จ.เชียงราย,เชียงของ,องค์การบริหารส่วนตําบลริมโขง,ริมโขง,10436,รพ.สต.บ้านสองพี่น้อง,รพ.สต.,20.361,100.313
จ.เชียงราย,พาน,องค์การบริหารส่วนตําบลทานตะวัน,ทานตะวัน,6720,รพ.สต.ทานตะวัน,รพ.สต.,19.47,99.832
จ.เชียงราย,พาน,องค์การบริหารส่วนตําบลทานตะวัน,ทานตะวัน,14020,รพ.สต.บ้านร่องคต,รพ.สต.,19.47,99.832
จ.เชียงราย,เมืองเชียงราย,เทศบาลตำบลป่าอ้อดอนชัย,ป่าอ้อดอนชัย,6665,รพ.สต.ป่าอ้อดอนชัย,รพ.สต.,19.768,99.819
จ.เชียงราย,เมืองเชียงราย,เทศบาลตำบลป่าอ้อดอนชัย,ป่าอ้อดอนชัย,6666,รพ.สต.บ้านดงเทพนิมิตร,รพ.สต.,19.768,99.819
จ.เชียงราย,เทิง,องค์การบริหารส่วนตําบลแม่ลอย,แม่ลอย,6693,รพ.สต.แม่ลอย,รพ.สต.,19.573,100.063
จ.เชียงราย,เทิง,องค์การบริหารส่วนตําบลแม่ลอย,แม่ลอย,6694,รพ.สต.บ้านเกี๋ยง,รพ.สต.,19.573,100.063
จ.เชียงราย,เทิง,องค์การบริหารส่วนตําบลแม่ลอย,แม่ลอย,6699,รพ.สต.บ้านรักแผ่นดิน,รพ.สต.,19.573,100.063
จ.เชียงราย,เวียงเชียงรุ้ง,องค์การบริหารส่วนตําบลป่าซาง,ป่าซาง,6819,รพ.สต.บ้านป่าซางเหนือ,รพ.สต.,20.048,100.12
จ.เชียงราย,เวียงเชียงรุ้ง,องค์การบริหารส่วนตําบลป่าซาง,ป่าซาง,6820,รพ.สต.ป่าซาง,รพ.สต.,20.048,100.12
จ.เชียงราย,พาน,องค์การบริหารส่วนตําบลแม่อ้อ,แม่อ้อ,6706,รพ.สต.แม่อ้อ,รพ.สต.,19.672,99.821
จ.เชียงราย,เทิง,เทศบาลตำบลงิ้ว,งิ้ว,6690,รพ.สต.บ้านตุ้มเหนือ,รพ.สต.,19.697,100.096
จ.เชียงราย,เทิง,เทศบาลตำบลงิ้ว,งิ้ว,6691,รพ.สต.งิ้ว,รพ.สต.,19.697,100.096
